equipment_code,site_code,line_code,equipment_name,equipment_type,area_type,line_class_code,rated_power_kw,commissioning_date,entity_origin,data_class,notes
SITE-CZ-01-L02-CNV,SITE-CZ-01,SITE-CZ-01-L02,SITE-CZ-01-L02 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L02-PAL,SITE-CZ-01,SITE-CZ-01-L02,SITE-CZ-01-L02 Palletiser,PALLETISER,END_OF_LINE,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L03-BLW,SITE-CZ-01,SITE-CZ-01-L03,SITE-CZ-01-L03 Blow Moulder,BLOW_MOULDER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L03-AIR,SITE-CZ-01,SITE-CZ-01-L03,SITE-CZ-01-L03 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L03-FIL,SITE-CZ-01,SITE-CZ-01-L03,SITE-CZ-01-L03 Carbonated Beverage Filler / Capper,FILLER_CAPPER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L03-INS,SITE-CZ-01,SITE-CZ-01-L03,SITE-CZ-01-L03 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L03-LAB,SITE-CZ-01,SITE-CZ-01-L03,SITE-CZ-01-L03 Labeller,LABELLER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L03-PKR,SITE-CZ-01,SITE-CZ-01-L03,SITE-CZ-01-L03 Packer / Shrink Wrapper,PACKER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L03-CNV,SITE-CZ-01,SITE-CZ-01-L03,SITE-CZ-01-L03 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L03-PAL,SITE-CZ-01,SITE-CZ-01-L03,SITE-CZ-01-L03 Palletiser,PALLETISER,END_OF_LINE,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L04-BLW,SITE-CZ-01,SITE-CZ-01-L04,SITE-CZ-01-L04 Blow Moulder,BLOW_MOULDER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L04-AIR,SITE-CZ-01,SITE-CZ-01-L04,SITE-CZ-01-L04 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L04-FIL,SITE-CZ-01,SITE-CZ-01-L04,SITE-CZ-01-L04 Carbonated Beverage Filler / Capper,FILLER_CAPPER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L04-INS,SITE-CZ-01,SITE-CZ-01-L04,SITE-CZ-01-L04 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L04-LAB,SITE-CZ-01,SITE-CZ-01-L04,SITE-CZ-01-L04 Labeller,LABELLER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L04-PKR,SITE-CZ-01,SITE-CZ-01-L04,SITE-CZ-01-L04 Packer / Shrink Wrapper,PACKER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L04-CNV,SITE-CZ-01,SITE-CZ-01-L04,SITE-CZ-01-L04 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L04-PAL,SITE-CZ-01,SITE-CZ-01-L04,SITE-CZ-01-L04 Palletiser,PALLETISER,END_OF_LINE,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L05-BLW,SITE-CZ-01,SITE-CZ-01-L05,SITE-CZ-01-L05 Blow Moulder,BLOW_MOULDER,PROCESS,PET_JUICE_1000,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L05-AIR,SITE-CZ-01,SITE-CZ-01-L05,SITE-CZ-01-L05 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_JUICE_1000,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L05-FIL,SITE-CZ-01,SITE-CZ-01-L05,SITE-CZ-01-L05 Juice Beverage Filler / Capper,FILLER_CAPPER,PROCESS,PET_JUICE_1000,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L05-INS,SITE-CZ-01,SITE-CZ-01-L05,SITE-CZ-01-L05 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_JUICE_1000,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L05-LAB,SITE-CZ-01,SITE-CZ-01-L05,SITE-CZ-01-L05 Labeller,LABELLER,PACKAGING,PET_JUICE_1000,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L05-PKR,SITE-CZ-01,SITE-CZ-01-L05,SITE-CZ-01-L05 Packer / Shrink Wrapper,PACKER,PACKAGING,PET_JUICE_1000,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L05-CNV,SITE-CZ-01,SITE-CZ-01-L05,SITE-CZ-01-L05 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_JUICE_1000,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-CZ-01-L05-PAL,SITE-CZ-01,SITE-CZ-01-L05,SITE-CZ-01-L05 Palletiser,PALLETISER,END_OF_LINE,PET_JUICE_1000,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L01-BLW,SITE-DE-01,SITE-DE-01-L01,SITE-DE-01-L01 Blow Moulder,BLOW_MOULDER,PROCESS,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L01-AIR,SITE-DE-01,SITE-DE-01-L01,SITE-DE-01-L01 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L01-FIL,SITE-DE-01,SITE-DE-01-L01,SITE-DE-01-L01 Filler / Capper,FILLER_CAPPER,PROCESS,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L01-INS,SITE-DE-01,SITE-DE-01-L01,SITE-DE-01-L01 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L01-LAB,SITE-DE-01,SITE-DE-01-L01,SITE-DE-01-L01 Labeller,LABELLER,PACKAGING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L01-PKR,SITE-DE-01,SITE-DE-01-L01,SITE-DE-01-L01 Packer / Shrink Wrapper,PACKER,PACKAGING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L01-CNV,SITE-DE-01,SITE-DE-01-L01,SITE-DE-01-L01 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L01-PAL,SITE-DE-01,SITE-DE-01-L01,SITE-DE-01-L01 Palletiser,PALLETISER,END_OF_LINE,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L02-BLW,SITE-DE-01,SITE-DE-01-L02,SITE-DE-01-L02 Blow Moulder,BLOW_MOULDER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L02-AIR,SITE-DE-01,SITE-DE-01-L02,SITE-DE-01-L02 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L02-FIL,SITE-DE-01,SITE-DE-01-L02,SITE-DE-01-L02 Carbonated Beverage Filler / Capper,FILLER_CAPPER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L02-INS,SITE-DE-01,SITE-DE-01-L02,SITE-DE-01-L02 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L02-LAB,SITE-DE-01,SITE-DE-01-L02,SITE-DE-01-L02 Labeller,LABELLER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L02-PKR,SITE-DE-01,SITE-DE-01-L02,SITE-DE-01-L02 Packer / Shrink Wrapper,PACKER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L02-CNV,SITE-DE-01,SITE-DE-01-L02,SITE-DE-01-L02 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L02-PAL,SITE-DE-01,SITE-DE-01-L02,SITE-DE-01-L02 Palletiser,PALLETISER,END_OF_LINE,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L03-BLW,SITE-DE-01,SITE-DE-01-L03,SITE-DE-01-L03 Blow Moulder,BLOW_MOULDER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L03-AIR,SITE-DE-01,SITE-DE-01-L03,SITE-DE-01-L03 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L03-FIL,SITE-DE-01,SITE-DE-01-L03,SITE-DE-01-L03 Carbonated Beverage Filler / Capper,FILLER_CAPPER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L03-INS,SITE-DE-01,SITE-DE-01-L03,SITE-DE-01-L03 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L03-LAB,SITE-DE-01,SITE-DE-01-L03,SITE-DE-01-L03 Labeller,LABELLER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L03-PKR,SITE-DE-01,SITE-DE-01-L03,SITE-DE-01-L03 Packer / Shrink Wrapper,PACKER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L03-CNV,SITE-DE-01,SITE-DE-01-L03,SITE-DE-01-L03 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L03-PAL,SITE-DE-01,SITE-DE-01-L03,SITE-DE-01-L03 Palletiser,PALLETISER,END_OF_LINE,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L04-BLW,SITE-DE-01,SITE-DE-01-L04,SITE-DE-01-L04 Blow Moulder,BLOW_MOULDER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L04-AIR,SITE-DE-01,SITE-DE-01-L04,SITE-DE-01-L04 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L04-FIL,SITE-DE-01,SITE-DE-01-L04,SITE-DE-01-L04 Carbonated Beverage Filler / Capper,FILLER_CAPPER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L04-INS,SITE-DE-01,SITE-DE-01-L04,SITE-DE-01-L04 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L04-LAB,SITE-DE-01,SITE-DE-01-L04,SITE-DE-01-L04 Labeller,LABELLER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L04-PKR,SITE-DE-01,SITE-DE-01-L04,SITE-DE-01-L04 Packer / Shrink Wrapper,PACKER,PACKAGING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L04-CNV,SITE-DE-01,SITE-DE-01-L04,SITE-DE-01-L04 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L04-PAL,SITE-DE-01,SITE-DE-01-L04,SITE-DE-01-L04 Palletiser,PALLETISER,END_OF_LINE,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L05-DEP,SITE-DE-01,SITE-DE-01-L05,SITE-DE-01-L05 Can Depalletiser,DEPALLETISER,MATERIAL_HANDLING,CAN_ENERGY_250,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L05-RIN,SITE-DE-01,SITE-DE-01-L05,SITE-DE-01-L05 Can Rinser,RINSER,PROCESS,CAN_ENERGY_250,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L05-FIL,SITE-DE-01,SITE-DE-01-L05,SITE-DE-01-L05 Can Filler / Seamer,FILLER_SEAMER,PROCESS,CAN_ENERGY_250,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L05-INS,SITE-DE-01,SITE-DE-01-L05,SITE-DE-01-L05 Can Inspection,INSPECTION_SYSTEM,QUALITY,CAN_ENERGY_250,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L05-PKR,SITE-DE-01,SITE-DE-01-L05,SITE-DE-01-L05 Can Packer,PACKER,PACKAGING,CAN_ENERGY_250,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L05-CNV,SITE-DE-01,SITE-DE-01-L05,SITE-DE-01-L05 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,CAN_ENERGY_250,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-DE-01-L05-PAL,SITE-DE-01,SITE-DE-01-L05,SITE-DE-01-L05 Palletiser,PALLETISER,END_OF_LINE,CAN_ENERGY_250,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L01-BLW,SITE-ES-01,SITE-ES-01-L01,SITE-ES-01-L01 Blow Moulder,BLOW_MOULDER,PROCESS,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L01-AIR,SITE-ES-01,SITE-ES-01-L01,SITE-ES-01-L01 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L01-FIL,SITE-ES-01,SITE-ES-01-L01,SITE-ES-01-L01 Filler / Capper,FILLER_CAPPER,PROCESS,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L01-INS,SITE-ES-01,SITE-ES-01-L01,SITE-ES-01-L01 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L01-LAB,SITE-ES-01,SITE-ES-01-L01,SITE-ES-01-L01 Labeller,LABELLER,PACKAGING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L01-PKR,SITE-ES-01,SITE-ES-01-L01,SITE-ES-01-L01 Packer / Shrink Wrapper,PACKER,PACKAGING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L01-CNV,SITE-ES-01,SITE-ES-01-L01,SITE-ES-01-L01 Pack Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L01-PAL,SITE-ES-01,SITE-ES-01-L01,SITE-ES-01-L01 Palletiser,PALLETISER,END_OF_LINE,PET_WATER_STILL_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L02-BLW,SITE-ES-01,SITE-ES-01-L02,SITE-ES-01-L02 Blow Moulder,BLOW_MOULDER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L02-AIR,SITE-ES-01,SITE-ES-01-L02,SITE-ES-01-L02 Air Conveyor,CONVEYOR,MATERIAL_HANDLING,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L02-FIL,SITE-ES-01,SITE-ES-01-L02,SITE-ES-01-L02 Carbonated Beverage Filler / Capper,FILLER_CAPPER,PROCESS,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
SITE-ES-01-L02-INS,SITE-ES-01,SITE-ES-01-L02,SITE-ES-01-L02 Bottle Inspection,INSPECTION_SYSTEM,QUALITY,PET_CARBONATED_500,,,FICTIONAL_ENTERPRISE,SYNTHETIC_MASTER_DATA,"No manufacturer, model, power rating, or commissioning date assigned."
